Name,target,src
0," What is the most important value to you about this job position?
"," You have applied for the job as baker. What do you think is interesting about this work?
I like how your company values its workers.
"
1," How long did you do the internship?
"," What makes you a good fit?
I studied Advanced Baking in London and got my internship there as well.
"
2," That is good. Can you tell me what skills you acquired during your internship?
"," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
During my internship, I was assigned as a helper for the senior baker at a cafe.
"
3," Yes. We have branches in New York, London, and Japan.
"," Is there anything you want to ask about this job?
I know you are a new baking company here. Do you have other branches elsewhere?
"
4," Oh okay. Did you just graduate?
"," What is your best experience from your previous jobs?
I have no job in the past.
"
5," How long have you been in the healthcare industry?
"," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I like contributing to our community by being part of the healthcare industry.
"
6," If there will be foreign visitors in our clinic, do you also know how to speak the English language fluently?
"," What makes you a good fit?
I think I am a good fit because I am a local and know how to communicate with patients using our language effectively.
"
7," Awesome. What are your tasks look like daily as an assistant?
"," If you are going to work in the healthcare industry, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked as an assistant to a maternity doctor for two years.
"
8," We serve people for eight hours 7 AM to 4 PM.
"," Is there anything you want to ask about this job?
What are the clinic hours?
"
9," What type of patients have you dealt with before?
"," What is your best experience from your previous jobs?
Our patients feel comfortable with me as they say I was friendly and easy to talk to.
"
10," Why do you like to work on electric cars?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
I like cars a lot but I want to focus on working with electric cars.
"
11," Sounds cool. How do you cooperate with your manager?
"," If you are going to work in our car shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked directly with our car service manager on a daily basis.
"
12," Yes, we do.
"," Is there anything you want to ask about this job?
Do you offer flexible working hours?
"
13," Did you get a chance to repair an electric car?
"," What is your best experience from your previous jobs?
When the company gave us a tour about electric cars.
"
14," What customers have you served before?
"," You have applied for the job as a retail worker. What do you think is interesting about this job?
I feel happy to serve customers.
"
15," How do you communicate with people in the stockroom?
"," If you are going to work in our shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I always coordinate with the people in the stockroom to ensure that they give our customers the proper size they need.
"
16," The job starts on June 15, 2021.
"," Is there anything you want to ask about this job?
When will the job start?
"
17," What do your customers usually buy?
"," What is your best experience from your previous jobs?
When the boutique lets us offer our customers free tea and sweets. I notice it uplifts customers' mood and they are more comfortable to buy.
"
18," What tasks did you perform in your past employment?
"," You have applied for the job as a warehouse hand. What do you think is interesting about this work?
I am a very organized person. I like a task that requires me to work on catalogs.
"
